Designator,Mid X,Mid Y,Rotation,Layer
C1,72.5,-63.0,-90.0,top
C2,73.5,-57.5,0.0,top
D1,72.5,-66.0,90.0,top
D2,65.5,-60.0,90.0,top
D3,65.5,-66.0,90.0,top
J1,72.0,-51.0,90.0,top
J2,71.0,-46.5,90.0,top
J3,70.0,-51.0,90.0,top
J4,69.0,-46.5,90.0,top
J5,68.0,-51.0,90.0,top
J6,67.0,-46.5,90.0,top
J7,66.0,-51.0,90.0,top
R1,72.5,-69.0,-90.0,top
R2,65.5,-63.0,-90.0,top
R3,71.5,-57.5,90.0,top
R4,70.25,-57.5,90.0,top
R5,69.0,-57.5,90.0,top
R6,67.75,-57.5,90.0,top
R7,65.5,-69.0,-90.0,top
TH1,65.75,-57.5,0.0,top
U1,69.0,-64.0,-90.0,top
